

Lista;V=10;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
13;8537;7314;19552;22292;
14;8919;7645;20155;22391;
15;9605;8602;20349;23256;
16;9440;8390;21029;23151;
17;8827;8162;21267;23973;
18;7377;9155;19134;21512;
19;9025;7872;20642;22501;
20;9033;7734;20277;22859;
21;9472;8243;20664;23611;
22;9435;8351;20210;26396;
23;7981;7319;19632;22408;
24;9000;7934;20066;22892;
25;9535;8019;20492;23435;
26;9412;8533;20522;23493;
27;8915;8013;20560;24049;
28;8323;8148;20129;23137;
29;9534;8456;20187;23175;
30;8957;8133;20182;23356;
31;9381;8737;20428;23378;
32;9513;8328;20595;22908;
33;8859;8262;20072;22762;
34;7977;6304;19386;22039;
35;9561;8152;20289;23270;
36;9419;8036;20696;22840;
37;8012;6540;19116;22670;
38;8820;7447;20144;22869;
39;8493;7270;19633;22247;
40;8437;7354;19457;22525;
41;8382;7952;20064;22601;
42;6831;5476;17542;21869;
43;8984;8612;19911;22832;
44;8855;7527;20089;23069;
45;8334;7541;19866;23097;
46;9440;8292;20305;22668;
47;9016;7935;19988;22841;
48;8487;8047;19940;22973;
49;9680;8307;20921;22940;
50;8787;7447;20063;23235;
51;9569;8282;20030;23364;
52;8974;8098;20439;22565;
53;8044;6290;19351;22010;
54;8306;7049;19303;21927;
55;10055;8181;20053;22883;
56;6791;5182;17710;20774;
57;8532;9171;19408;22852;
58;9502;8646;20175;23677;
59;8766;8666;20125;23512;
60;7758;6553;19403;22402;
61;4926;3100;14880;18966;
62;9356;8173;20971;28204;
63;9184;7784;20277;22641;
64;8878;7865;21057;22931;
65;8836;7812;20223;22856;
66;8926;7849;20255;23542;
67;7348;5945;17828;21610;
68;8525;7421;19360;22442;
69;9330;7910;20506;23502;
70;7366;10602;18260;21402;
71;8053;6541;18674;22244;
72;9486;8345;20539;23128;
73;9408;8112;20358;23857;
74;9284;8971;20382;22679;
75;8254;6956;19398;22662;
76;8886;8115;20073;22393;
77;9321;8159;21016;23438;
78;9338;8337;20429;22620;
79;9250;8084;20818;22662;
80;8662;7693;19551;22619;
81;9401;8670;20235;23117;
82;8863;7578;20018;22426;
83;8531;7562;19478;22717;
84;9425;8247;20146;22904;
85;8878;7854;20049;23183;
86;9346;8439;20849;23116;
87;8881;7899;20179;22479;
88;8970;7818;19863;23000;
89;7992;6625;18779;21727;
90;9478;8092;20230;23764;
91;9553;8696;20458;23954;
92;8879;8172;20232;23177;
93;9036;7868;20491;22906;
94;8929;7605;20230;23372;
95;9553;8325;20722;23215;
96;9446;8508;20576;23035;
97;5400;3586;15624;19563;
98;4881;3117;14900;19002;
99;8402;7371;19658;22370;
100;9472;8162;20106;23053;



Lista;V=10;gestosc=50
nr;BFS;DFS;Dijkstra;BellmanFord
1;24979;10084;21104;21644;
2;9852;10157;21362;21777;
3;9669;9663;19992;21107;
4;8732;9376;19531;23944;
5;8820;10153;20326;21287;
6;8554;10104;19603;20844;
7;9143;10096;19894;21100;
8;9153;9868;20205;21762;
9;9143;9242;19811;21434;
10;9384;9819;20505;21623;
11;9387;9703;19723;21154;
12;9312;10330;19843;21843;
13;9304;9918;20478;21471;
14;9345;9254;20406;21174;
15;9253;9846;20034;21448;
16;9178;10142;19828;21379;
17;9228;9328;19988;21077;
18;9118;10174;19868;21349;
19;9088;10415;19984;21575;
20;9160;9335;20462;21023;
21;9219;9337;20100;21155;
22;9320;9717;19882;20944;
23;9133;9733;19867;20956;
24;9142;9983;19918;21175;
25;9078;9703;19898;21592;
26;9130;9362;19731;21030;
27;9138;9812;20147;21370;
28;9117;9338;19928;21072;
29;9120;10342;20187;21294;
30;9093;9321;20104;21507;
31;8660;9483;20236;20843;
32;9210;9072;20055;21625;
33;9195;9727;19787;21353;
34;9072;9697;19604;21147;
35;9146;8850;20365;21553;
36;9199;10382;20062;21045;
37;9223;9818;20056;21462;
38;9116;9574;19771;21140;
39;9176;9212;20009;20996;
40;9218;9436;19848;21637;
41;9146;9839;19624;21173;
42;9029;9527;19973;21190;
43;9095;9473;19735;20955;
44;9209;9323;19989;21096;
45;9187;10378;19798;21280;
46;9044;9992;20074;21443;
47;9033;9168;20014;21093;
48;9137;9375;20054;21180;
49;9180;9076;20348;21460;
50;9096;8990;19826;21200;
51;9146;9282;19995;21023;
52;9151;9076;19809;21320;
53;8997;9384;20092;21410;
54;9068;10194;19944;21416;
55;9020;10121;19839;21311;
56;9147;9256;19912;21309;
57;9079;9785;19931;21703;
58;8930;9699;19754;21177;
59;9087;9440;19656;21116;
60;9190;9969;19784;21413;
61;8959;9555;19839;21612;
62;9003;9565;19780;21025;
63;9290;9298;19859;21160;
64;9127;9724;19853;21322;
65;9030;10113;20292;21339;
66;9316;9742;20330;21560;
67;9178;9772;20145;21146;
68;9172;9010;20108;21298;
69;9023;9541;19709;21210;
70;9224;10233;20148;21738;
71;9277;9891;19916;21503;
72;9058;10406;19787;21055;
73;9087;9875;20377;21459;
74;9207;9311;19911;21415;
75;9134;9674;20060;21500;
76;9087;9851;22436;21557;
77;9340;10147;20280;21538;
78;9200;9580;20039;21517;
79;9575;9144;19848;21419;
80;9414;10265;19897;21740;
81;9132;9779;20254;20747;
82;9214;9070;20075;21160;
83;9102;10075;20469;20910;
84;9160;9141;20000;21364;
85;9197;10073;20923;21561;
86;9158;9385;19900;21295;
87;9060;9730;19908;21116;
88;9177;9134;19922;21114;
89;9130;9458;20141;21263;
90;9178;9693;20226;21019;
91;9185;9823;20065;21374;
92;9339;9641;19980;21248;
93;9276;9788;19814;21235;
94;9104;9984;20213;21288;
95;9460;9602;20449;21132;
96;9554;9397;20453;21547;
97;9425;9761;19739;22145;
98;9536;9554;20529;21555;
99;9549;9891;26365;22001;
100;11371;9771;21086;21722;



Macierz;V=10;gestosc=50
nr;BFS;DFS;Dijkstra;BellmanFord
1;21125;11807;22439;25264;
2;10940;9935;21179;25178;
3;10300;9828;20456;24770;
4;9847;9881;21275;24909;
5;9484;10584;21475;24742;
6;9423;10404;21179;25210;
7;9235;10226;20544;24678;
8;10197;9741;21250;25030;
9;9514;10846;20894;25100;
10;9430;10192;21372;26034;
11;9354;10535;21413;25434;
12;9539;10684;20960;25085;
13;9517;9816;20936;24855;
14;34169;24006;21790;24865;
15;16964;52895;22308;24446;
16;10883;10303;21459;25201;
17;10878;10895;20534;25047;
18;10321;10800;21182;24477;
19;10310;10333;20804;25824;
20;9911;10321;21158;24630;
21;9919;10049;21075;24217;
22;9921;9895;21357;24855;
23;9324;9159;20517;24445;
24;9766;11012;20590;25173;
25;9918;11607;20869;24976;
26;9891;10180;20879;25074;
27;10021;10494;21102;24838;
28;9899;10107;21024;25431;
29;9779;9629;20965;25618;
30;9916;10345;20773;25267;
31;9905;10770;20881;24664;
32;9819;10422;20770;25042;
33;9898;9849;20944;25013;
34;9831;10158;20883;25014;
35;10003;11342;20399;24718;
36;9686;10236;20910;24653;
37;9818;10661;21309;25711;
38;9691;10016;21632;26053;
39;10324;10712;21280;25374;
40;9860;10065;22249;26681;
41;9769;10532;21191;25419;
42;9846;10406;20856;24828;
43;9710;10811;20814;24880;
44;9628;10865;20860;25104;
45;9735;10141;20857;24788;
46;9811;9927;21222;25018;
47;9775;9656;20378;25195;
48;9806;9505;21557;24843;
49;10629;9833;21494;25883;
50;10110;10347;21541;26397;
51;9873;9935;20372;24686;
52;9791;9906;21260;24770;
53;9789;10605;21212;25679;
54;9498;10688;20807;25148;
55;10056;10193;20750;26220;
56;9350;10236;21302;28475;
57;10387;10477;20929;25440;
58;10028;10098;20570;25325;
59;9294;10541;20900;25488;
60;35508;13352;47290;28645;
61;12624;10683;21089;30683;
62;15275;15357;25925;25562;
63;10160;10712;21020;25849;
64;10736;10254;21459;25401;
65;10201;10689;21567;25825;
66;10241;10634;20837;26690;
67;9589;10171;20950;25273;
68;10162;10414;20763;26104;
69;9712;10321;21148;25322;
70;9819;9973;20977;26106;
71;9883;9839;21002;25056;
72;9334;10189;20654;25887;
73;10784;10454;21192;25197;
74;9900;10571;20824;25449;
75;10289;10213;20951;24764;
76;9869;10335;21890;24664;
77;9286;9793;20214;24801;
78;9561;10042;20598;25537;
79;10030;10322;20916;25498;
80;9968;10555;20798;24940;
81;9976;10435;20877;25451;
82;10052;9874;20574;24551;
83;10024;9937;20527;24542;
84;10533;10228;20938;25024;
85;10185;10085;20837;25541;
86;10003;10250;23326;24964;
87;10220;10350;21072;24882;
88;10156;9878;20780;24560;
89;9795;10610;20799;24594;
90;9749;10412;21075;25170;
91;9907;10538;20948;25252;
92;10396;10335;20597;25847;
93;10421;10076;21125;24973;
94;10273;11069;20717;25061;
95;10309;10134;21486;24849;
96;10244;11150;20652;27746;
97;10156;10410;20606;25072;
98;10152;9616;21555;25316;
99;10298;10604;20971;24949;
100;10183;10538;20843;25302;



Lista;V=10;gestosc=75
nr;BFS;DFS;Dijkstra;BellmanFord
1;13486;12408;20925;24124;
2;9917;11544;20278;25676;
3;9686;11369;19713;23052;
4;9626;11043;19679;22899;
5;9587;11741;19759;23148;
6;9719;11766;19550;22956;
7;9457;11390;19997;22827;
8;9376;11645;19501;22843;
9;9485;11430;19783;25172;
10;9414;11245;19835;23804;
11;9434;11375;19929;22799;
12;9342;11404;19734;22596;
13;9369;11253;20012;23166;
14;9303;11726;19872;22914;
15;9212;11870;20159;23021;
16;9387;11561;20421;23131;
17;9470;11543;20814;23185;
18;9423;11594;20036;23234;
19;9337;11682;20161;23618;
20;9395;11376;20089;23573;
21;9382;11741;19925;23145;
22;9677;11385;20431;22670;
23;9579;11703;20173;22820;
24;9627;11608;20788;23314;
25;9732;11509;20294;23129;
26;9527;11274;20395;22827;
27;9479;12185;20148;22885;
28;9522;11903;19976;23521;
29;9640;11527;20250;22828;
30;9529;12091;20073;23213;
31;9583;12502;19770;22968;
32;9528;11520;20387;23066;
33;9600;12052;20012;22660;
34;9607;11203;20372;22932;
35;9553;12063;19920;23450;
36;9547;11452;20237;23331;
37;9603;11708;19898;22894;
38;9651;11847;20450;22879;
39;9649;11729;19999;23581;
40;9666;12543;19827;23019;
41;9434;11511;20410;22774;
42;9622;11852;19970;22439;
43;9599;11572;20051;22944;
44;9573;12037;20113;22622;
45;9558;12411;20437;23356;
46;9574;12041;19908;22891;
47;9703;11556;20257;22668;
48;9644;12084;20229;22500;
49;9574;12140;19896;22805;
50;9726;11867;20268;22786;
51;9838;11948;20030;23251;
52;9802;11755;20203;22956;
53;9499;11663;20082;22913;
54;9721;11891;20053;23273;
55;9622;11854;20559;23257;
56;9599;11769;57662;24591;
57;14681;12062;20684;22984;
58;10002;11097;19987;23117;
59;9205;11152;22860;23192;
60;9556;11844;19880;22750;
61;9284;11130;20927;23735;
62;9686;11138;20222;23294;
63;9461;11815;19722;23026;
64;9324;11213;19440;23285;
65;9338;11687;19797;22982;
66;9157;11841;19458;22540;
67;9264;11608;19434;22788;
68;9208;10962;20371;22574;
69;9223;11943;19637;22876;
70;9227;11509;19759;23007;
71;9351;11620;19648;23033;
72;9104;11426;19607;23002;
73;9305;11239;19755;22790;
74;9290;11209;19691;23223;
75;9353;11473;19730;22987;
76;9256;10971;19687;22606;
77;9705;10862;20105;22977;
78;9450;11764;19722;22469;
79;9586;10996;20028;22620;
80;9401;12055;19648;22365;
81;9380;11785;20374;22783;
82;9615;11260;19865;22802;
83;9583;11881;20039;23059;
84;9541;12157;19816;22983;
85;9605;11831;20316;22502;
86;9497;11220;20406;22495;
87;9475;11730;20405;22588;
88;9579;11496;19818;22644;
89;9482;11996;19892;22614;
90;9439;12368;19724;22705;
91;9535;12144;19702;23198;
92;9537;11824;20133;23172;
93;9519;11588;19992;23216;
94;9586;11131;20526;22788;
95;9376;11432;19665;23228;
96;9522;11881;19851;22795;
97;9472;11075;20012;23139;
98;9628;11870;20105;23581;
99;9519;11987;19712;22447;
100;9377;11163;19927;22716;



Macierz;V=10;gestosc=75
nr;BFS;DFS;Dijkstra;BellmanFord
1;15753;15045;36174;26008;
2;10396;12274;21162;25970;
3;10071;12338;20847;26009;
4;9917;12178;21483;26042;
5;9949;12034;20565;25938;
6;9810;11927;20481;26198;
7;9656;12290;20574;25936;
8;10096;11987;20834;25716;
9;9922;11169;21148;26560;
10;9936;12311;20621;25750;
11;9961;12019;20684;26215;
12;9859;12145;20348;25573;
13;9911;12060;20427;25518;
14;9830;12149;22230;25715;
15;9902;14016;21118;26305;
16;9845;12270;20581;25889;
17;9776;11457;20349;25793;
18;9835;11290;20621;26843;
19;10237;12729;34508;26110;
20;9981;12129;21072;26012;
21;9902;12359;20340;25933;
22;9746;12360;20280;25607;
